CRN;Course;Session;Title;Instructor;Time/Location;Credits
23568;ECON 265 001;Full Term;MICRO & PUBLIC POLICY/BUSINESS;Dudey, Marc P.;2:00PM - 2:50PM MWF RZR 22728-APR-2018 2:00PM - 5:00PM S TBA TBAScheduled Final Exam-OTR Room;3
25315;ECON 299 001;Full Term;EXPERIENTIAL EDUC IN ECONOMICS;Zodrow, George R.;TBA TBANo Final Exam;1
22153;ECON 300 001;Full Term;GAME THEORY, MICRO TOPICS/ECON;Biavati, Michele;2:30PM - 3:45PM TR ABL 12330-APR-2018 2:00PM - 5:00PM M TBA TBAScheduled Final Exam-OTR Room;3
22154;ECON 305 001;Full Term;GAME THEORY, MICRO TOPICS/MTEC;Boylan, Richard T.;10:50AM - 12:05PM TR BKH 11626-APR-2018 9:00AM - 12:00PM R TBA TBAScheduled Final Exam-OTR Room;3
21320;ECON 307 002;Full Term;PROBABILITY & STATISTICS;Bertolusso, Roberto L.;1:00PM - 2:15PM TR HRZ AMP27-APR-2018 9:00AM - 12:00PM F TBA TBAScheduled Final Exam-OTR Room;3
24162;ECON 307 003;Full Term;PROBABILITY & STATISTICS;Scott, David W.;1:00PM - 2:15PM TR DCH 107027-APR-2018 9:00AM - 12:00PM F TBA TBAScheduled Final Exam-OTR Room;3
25462;ECON 307 004;Full Term;PROBABILITY & STATISTICS;White, Benjamin M.;1:00PM - 2:15PM TR ABL 131Scheduled Final Exam-OTR Room;3
24663;ECON 308 001;Full Term;MATHEMATICAL ECONOMICS;Bejan, Maria M.;9:25AM - 10:40AM TR BKH 1024:00PM - 5:00PM R BKH 10228-APR-2018 9:00AM - 12:00PM S TBA TBAScheduled Final Exam-OTR Room;4
24512;ECON 310 001;Full Term;ECONOMETRICS;Brown, Bryan W.;9:00AM - 9:50AM MWF BKH 1167:00PM - 7:50PM M BKH 11626-APR-2018 2:00PM - 5:00PM R TBA TBAScheduled Final Exam-OTR Room;4
24513;ECON 310 002;Full Term;ECONOMETRICS;Brown, Bryan W.;9:00AM - 9:50AM MWF BKH 1167:00PM - 7:50PM W BKH 11626-APR-2018 2:00PM - 5:00PM R TBA TBAScheduled Final Exam-OTR Room;4
24514;ECON 310 003;Full Term;ECONOMETRICS;Brown, Bryan W.;1:00PM - 1:50PM MWF BKH 1167:00PM - 7:50PM M BKH 1161-MAY-2018 9:00AM - 12:00PM T TBA TBAScheduled Final Exam-OTR Room;4
24515;ECON 310 004;Full Term;ECONOMETRICS;Brown, Bryan W.;1:00PM - 1:50PM MWF BKH 1167:00PM - 7:50PM W BKH 1161-MAY-2018 9:00AM - 12:00PM T TBA TBAScheduled Final Exam-OTR Room;4
