CRN;Course;Session;Title;Instructor;Time/Location;Credits
20558;BIOC 310 015;Full Term;IND RES FOR BIOC UNDERGRADS;Levine, Herbert;TBA TBANo Final Exam;1 TO 4
20791;BIOC 310 016;Full Term;IND RES FOR BIOC UNDERGRADS;Lwigale, Peter Y.;TBA TBA2-MAY-2018 7:00PM - 10:00PM W TBA TBANo Final Exam;1 TO 4
20792;BIOC 310 017;Full Term;IND RES FOR BIOC UNDERGRADS;Matsuda, Seiichi P.;TBA TBANo Final Exam;1 TO 4
20559;BIOC 310 018;Full Term;IND RES FOR BIOC UNDERGRADS;Matthews, Kathleen S.;TBA TBANo Final Exam;1 TO 4
20793;BIOC 310 019;Full Term;IND RES FOR BIOC UNDERGRADS;McNew, James A.;TBA TBANo Final Exam;1 TO 4
20560;BIOC 310 020;Full Term;IND RES FOR BIOC UNDERGRADS;Nakhleh, Luay;TBA TBANo Final Exam;1 TO 4
20794;BIOC 310 021;Full Term;IND RES FOR BIOC UNDERGRADS;Nikonowicz, Edward P.;TBA TBA2-MAY-2018 7:00PM - 10:00PM W TBA TBANo Final Exam;1 TO 4
20561;BIOC 310 023;Full Term;IND RES FOR BIOC UNDERGRADS;Onuchic, Jose;TBA TBANo Final Exam;1 TO 4
20562;BIOC 310 025;Full Term;IND RES FOR BIOC UNDERGRADS;Phillips, George N.;TBA TBANo Final Exam;1 TO 4
20563;BIOC 310 026;Full Term;IND RES FOR BIOC UNDERGRADS;Segatori, Laura;TBA TBANo Final Exam;1 TO 4
20564;BIOC 310 027;Full Term;IND RES FOR BIOC UNDERGRADS;Shamoo, Yousif;TBA TBA2-MAY-2018 7:00PM - 10:00PM W TBA TBANo Final Exam;1 TO 4
20565;BIOC 310 028;Full Term;IND RES FOR BIOC UNDERGRADS;Silberg, Jonathan J.;TBA TBA2-MAY-2018 7:00PM - 10:00PM W TBA TBANo Final Exam;1 TO 4
20566;BIOC 310 029;Full Term;IND RES FOR BIOC UNDERGRADS;Stern, Michael;TBA TBA2-MAY-2018 7:00PM - 10:00PM W TBA TBANo Final Exam;1 TO 4
20567;BIOC 310 030;Full Term;IND RES FOR BIOC UNDERGRADS;Stewart, Charles R.;TBA TBA2-MAY-2018 7:00PM - 10:00PM W TBA TBANo Final Exam;1 TO 4
20568;BIOC 310 031;Full Term;IND RES FOR BIOC UNDERGRADS;Tao, Yizhi J.;TBA TBA2-MAY-2018 7:00PM - 10:00PM W TBA TBANo Final Exam;1 TO 4
20831;BIOC 310 032;Full Term;IND RES FOR BIOC UNDERGRADS;Wagner, Daniel S.;TBA TBA2-MAY-2018 7:00PM - 10:00PM W TBA TBANo Final Exam;1 TO 4
