CRN;Course;Session;Title;Instructor;Time/Location;Credits
24800;SPAN 321 002;Full Term;SPANISH FOR INTERCULTURAL COM1;Stasevicius, Maria L.;9:00AM - 9:50AM MWF RZR 12326-APR-2018 2:00PM - 5:00PM R TBA TBAScheduled Final Exam-OTR Room;3
25075;SPAN 321 003;Full Term;SPANISH FOR MEDICAL I;Boggiano, Aymara;10:00AM - 10:50AM MWF HRZ 21130-APR-2018 9:00AM - 12:00PM M TBA TBAScheduled Final Exam-OTR Room;3
21309;SPAN 321 004;Full Term;SPANISH FOR MEDICAL I;Boggiano, Aymara;11:00AM - 11:50AM MWF HRZ 21125-APR-2018 9:00AM - 12:00PM W TBA TBAScheduled Final Exam-OTR Room;3
21310;SPAN 322 001;Full Term;SPANISH FOR INTERCULTURAL COM2;Turi, Luziris P.;9:00AM - 9:50AM MWF RZR 11926-APR-2018 2:00PM - 5:00PM R TBA TBAScheduled Final Exam-OTR Room;3
24801;SPAN 322 002;Full Term;SPANISH FOR INTERCULTURAL COM2;Morones, Jessica Y.;11:00AM - 11:50AM MWF SEW 56225-APR-2018 9:00AM - 12:00PM W TBA TBAScheduled Final Exam-OTR Room;3
21661;SPAN 323 001;Full Term;MEDICAL INTERNSHIP;Diaz Montalvo, Thais M.;3:00PM - 3:50PM W RZR 20529-APR-2018 2:00PM - 5:00PM U TBA TBAScheduled Final Exam-OTR Room;3
25033;SPAN 323 002;Full Term;INTERCULTURAL INTERNSHIP I;Scutti Santos, Helade;3:00PM - 3:50PM W RZR 20429-APR-2018 2:00PM - 5:00PM U TBA TBAScheduled Final Exam-OTR Room;3
24063;SPPO 332 001;Full Term;APPROACHES HISPANIC LITERATURE;Heffes, Gisela;10:50AM - 12:05PM TR RZR 30226-APR-2018 9:00AM - 12:00PM R TBA TBANo Final Exam;3
24918;SPPO 344 001;Full Term;MAPPING LATIN AMER CULTURE;Gonzalez-Stephan, Beatriz M.;1:00PM - 1:50PM MWF RZR 3021-MAY-2018 9:00AM - 12:00PM T TBA TBANo Final Exam;3
24919;SPPO 347 001;Full Term;MEDIEVAL&EARLY SPAN LIT&CULTUR;Fernandez, Esther;9:25AM - 10:40AM TR RZR 30228-APR-2018 9:00AM - 12:00PM S TBA TBANo Final Exam;3
23310;SPPO 354 001;Full Term;CHICANA FEMINISM;Valdez, Elena V.;1:00PM - 1:50PM MWF BKH 229Scheduled Final Exam-OTR Room;3
25098;SPPO 363 001;Full Term;RESEARCH ON STUDY ABROAD;Salaberry, Maximo R.;11:00AM - 11:50AM MWF RZR 20225-APR-2018 9:00AM - 12:00PM W TBA TBANo Final Exam;3
25079;SPPO 373 001;Full Term;THE MEXICAN RENAISSANCE;Gutierrez, Manuel;4:00PM - 5:15PM MW RZR 20428-APR-2018 7:00PM - 10:00PM S TBA TBANo Final Exam;3
23309;SPPO 375 701;Full Term;TRENDS IN CUBAN CULTURE;Duno-Gottberg, LuisLopez Duran, Maria Fabiola;7:00PM - 9:30PM T HRG 12630-APR-2018 7:00PM - 10:00PM M TBA TBANo Final Exam;3
25099;SPPO 381 001;Full Term;SPANISH CINEMA;Fernandez, Esther;1:00PM - 2:15PM TR HNZ 20727-APR-2018 9:00AM - 12:00PM F TBA TBANo Final Exam;3
