CRN,Course,Session,Title,Instructor(s),Schedule,Credits
23538,CAAM 491 009,Full Term,UNDERGRAD RESEARCH PROJECTS,Schaefer, Andrew J., TBA TBA2-MAY-2018  7:00PM - 10:00PM W TBA TBANo Final Exam,1 TO 6
23539,CAAM 491 010,Full Term,UNDERGRAD RESEARCH PROJECTS,Tapia, Richard A., TBA TBANo Final Exam,1 TO 6
23540,CAAM 491 011,Full Term,UNDERGRAD RESEARCH PROJECTS,Zhang, Yin, TBA TBANo Final Exam,1 TO 6
20364,CAAM 496 001,Full Term,SENIOR DESIGN PROJECT II,Riviere, Beatrice,4:00PM - 4:50PM T DCH 107527-APR-2018  2:00PM - 5:00PM F TBA TBANo Final Exam,2 TO 3
22131,CAAM 536 001,Full Term,NUMERICAL METHODS FOR PDES,Scott, L R.,1:00PM - 2:15PM TR DCH 1042GR Course-Dept Schedules Exam,3
20366,CAAM 554 001,Full Term,NUMERICAL ANALYSIS II,Heinkenschloss, Matthias,2:30PM - 3:45PM TR DCH 104630-APR-2018  2:00PM - 5:00PM M TBA TBAGR Course-Dept Schedules Exam,3
25014,CAAM 570 001,Full Term,GRAPH THEORY,Brimkov, Boris,9:25AM - 10:40AM TR MEL 251GR Course-Dept Schedules Exam,3
20418,CAAM 571 001,Full Term,LINEAR AND INTEGER PROGRAMMING,Hicks, Illya V.,1:00PM - 2:15PM TR DCH 104627-APR-2018  9:00AM - 12:00PM F TBA TBAGR Course-Dept Schedules Exam,3
23276,CAAM 591 001,Full Term,GRADUATE RESEARCH PROJECTS,Chan, Jesse L., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23289,CAAM 591 002,Full Term,GRADUATE RESEARCH PROJECTS,de Hoop, Maarten V., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23290,CAAM 591 003,Full Term,GRADUATE RESEARCH PROJECTS,Gillman, Adrianna M., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23541,CAAM 591 004,Full Term,GRADUATE RESEARCH PROJECTS,Hand, Paul E., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23542,CAAM 591 005,Full Term,GRADUATE RESEARCH PROJECTS,Heinkenschloss, Matthias, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23543,CAAM 591 006,Full Term,GRADUATE RESEARCH PROJECTS,Hicks, Illya V., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23544,CAAM 591 007,Full Term,GRADUATE RESEARCH PROJECTS,Knepley, Matthew G., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23545,CAAM 591 008,Full Term,GRADUATE RESEARCH PROJECTS,Riviere, Beatrice, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23546,CAAM 591 009,Full Term,GRADUATE RESEARCH PROJECTS,Schaefer, Andrew J., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23547,CAAM 591 010,Full Term,GRADUATE RESEARCH PROJECTS,Tapia, Richard A., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23548,CAAM 591 011,Full Term,GRADUATE RESEARCH PROJECTS,Zhang, Yin, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
20320,CAAM 600 001,Full Term,THESIS WRITING,Hewitt, Janice L.Heinkenschloss, Matthias,10:00AM - 11:50AM F AEL B209GR Course-Dept Schedules Exam,3
25041,CAAM 620 001,Full Term,TOPICS IN COMPUTATIONL SCIENCE,Scott, L R.,9:25AM - 10:40AM TR TBA TBAGR Course-Dept Schedules Exam,1 TO 3
20732,CAAM 652 001,Full Term,TOPICS IN NUM DIFF EQNS,Chan, Jesse L.,10:00AM - 10:50AM W TBA TBAGR Course-Dept Schedules Exam,1 TO 3
23271,CAAM 800 001,Full Term,RESEARCH AND THESIS,Chan, Jesse L., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23291,CAAM 800 002,Full Term,RESEARCH AND THESIS,de Hoop, Maarten V., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23292,CAAM 800 003,Full Term,RESEARCH AND THESIS,Gillman, Adrianna M., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23293,CAAM 800 004,Full Term,RESEARCH AND THESIS,Hand, Paul E., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23294,CAAM 800 005,Full Term,RESEARCH AND THESIS,Heinkenschloss, Matthias, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23295,CAAM 800 006,Full Term,RESEARCH AND THESIS,Hicks, Illya V., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23296,CAAM 800 007,Full Term,RESEARCH AND THESIS,Knepley, Matthew G., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23550,CAAM 800 008,Full Term,RESEARCH AND THESIS,Riviere, Beatrice, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23551,CAAM 800 009,Full Term,RESEARCH AND THESIS,Schaefer, Andrew J., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23552,CAAM 800 010,Full Term,RESEARCH AND THESIS,Tapia, Richard A., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23553,CAAM 800 011,Full Term,RESEARCH AND THESIS,Zhang, Yin, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
25080,CEVE 201 001,Full Term,ENG ECONOMICS & PROJECT MGMT,Segner, Edmund P.,2:00PM - 4:30PM M MEL 2511-MAY-2018  2:00PM - 5:00PM T TBA TBANo Final Exam,3
25366,CEVE 210 001,Full Term,WILD TOPICS CHEM AND NANOTECH,Tour, James M.,3:00PM - 3:50PM F DBH 180No Final Exam,1
20301,CEVE 211 001,Full Term,ENGINEERING MECHANICS,Fregly, Benjamin,8:00AM - 9:15AM TR MEL 2541-MAY-2018  7:00PM - 10:00PM T TBA TBAScheduled Final Exam-OTR Room,3
20100,CEVE 304 001,Full Term,STRUCTURAL ANALYSIS I,Wilkerson, Steven M.,6:40PM - 7:55PM TR RYN 20126-APR-2018  7:00PM - 10:00PM R TBA TBAScheduled Final Exam-OTR Room,3
20101,CEVE 307 001,Full Term,ENERGY AND THE ENVIRONMENT,Cohan, Daniel S.,9:25AM - 10:40AM TR RZR 11928-APR-2018  9:00AM - 12:00PM S TBA TBANo Final Exam,3
20104,CEVE 311 001,Full Term,MECHANICS OF SOLIDS,Nagarajaiah, Satish,1:00PM - 2:15PM TR RYN 20127-APR-2018  9:00AM - 12:00PM F TBA TBAScheduled Final Exam-OTR Room,3
22459,CEVE 311 002,Full Term,MECHANICS OF SOLIDS,Marquez, Eleazar,10:00AM - 10:50AM MWF MEB 12830-APR-2018  9:00AM - 12:00PM M TBA TBAScheduled Final Exam-OTR Room,3
20105,CEVE 312 001,Full Term,STRENGTH OF MATERIALS LAB,Nagarajaiah, Satish,2:30PM - 5:00PM T RYN 2012-MAY-2018  9:00AM - 12:00PM W TBA TBANo Final Exam,1
